type,policy_logps,reference_logps,rewards,lengths
chosen,-86.90846252441406,-71.37234497070312,-1.5536117553710938,25
rejected,-103.40626525878906,-83.2091064453125,-2.0197160243988037,24
chosen,-359.08197021484375,-341.3460693359375,-1.773590087890625,-152
rejected,-208.80322265625,-193.88072204589844,-1.4922500848770142,-198
chosen,-347.23724365234375,-332.4476623535156,-1.4789581298828125,-79
rejected,-324.6566162109375,-316.12652587890625,-0.853009045124054,-89
chosen,-25.022079467773438,-24.282718658447266,-0.0739360824227333,-290
rejected,-103.94021606445312,-105.81002807617188,0.186981201171875,-250
chosen,-249.07681274414062,-218.28883361816406,-3.0787980556488037,79
rejected,-42.22391891479492,-10.874503135681152,-3.134941577911377,-10
chosen,-115.61107635498047,-102.24623107910156,-1.3364845514297485,-204
rejected,-196.09649658203125,-177.6062774658203,-1.8490219116210938,-158
chosen,-137.03988647460938,-122.74402618408203,-1.4295860528945923,48
rejected,-45.22367477416992,-31.253005981445312,-1.3970669507980347,4
chosen,-39.011009216308594,-17.845884323120117,-2.1165125370025635,-85
rejected,-80.91681671142578,-60.03562545776367,-2.0881192684173584,-60
chosen,-17.155521392822266,-9.592911720275879,-0.7562609910964966,-6
rejected,-85.7464828491211,-67.36492919921875,-1.8381553888320923,16
chosen,-313.77032470703125,-288.9722900390625,-2.4798035621643066,114
rejected,-72.7254867553711,-37.94780731201172,-3.4777679443359375,2
chosen,-47.70548629760742,-37.83832931518555,-0.9867157340049744,-53
rejected,-126.91845703125,-110.58938598632812,-1.6329071521759033,-16
chosen,-76.33216857910156,-77.5224380493164,0.11902695149183273,32
rejected,-48.805747985839844,-39.093910217285156,-0.9711837768554688,-2
chosen,-127.13156127929688,-101.97620391845703,-2.515535831451416,-3
rejected,-203.6628875732422,-195.59109497070312,-0.8071792721748352,62
chosen,-12.265990257263184,-5.121645450592041,-0.7144345045089722,-95
rejected,-36.48455810546875,-21.04828453063965,-1.543627381324768,-85
chosen,-635.208251953125,-592.3046264648438,-4.29036283493042,256
rejected,-614.0612182617188,-580.5706176757812,-3.34906005859375,245
chosen,-34.020450592041016,-28.122802734375,-0.5897647738456726,-246
rejected,-222.13357543945312,-199.43809509277344,-2.269548177719116,-162
chosen,-18.93809700012207,-17.866554260253906,-0.10715427249670029,-305
rejected,-7.229489326477051,-1.8067468404769897,-0.5422742366790771,-317
chosen,-81.36772155761719,-70.7494125366211,-1.0618308782577515,-71
rejected,-46.292503356933594,-45.396392822265625,-0.08961105346679688,-70
chosen,-105.75216674804688,-95.25468444824219,-1.0497483015060425,-113
rejected,-95.86071014404297,-90.29627227783203,-0.5564438104629517,-112
chosen,-249.13601684570312,-241.0531463623047,-0.8082870841026306,-62
rejected,-218.69776916503906,-212.5034942626953,-0.619427502155304,-78
chosen,-58.67816925048828,-51.26497268676758,-0.7413196563720703,-415
rejected,-89.5285415649414,-74.40657043457031,-1.5121971368789673,-403
chosen,-132.08273315429688,-119.14097595214844,-1.2941757440567017,44
rejected,-105.54353332519531,-65.01038360595703,-4.053315162658691,22
chosen,-80.53743743896484,-78.48374938964844,-0.2053688019514084,10
rejected,-35.32085037231445,-16.056180953979492,-1.926466941833496,-10
chosen,-200.50384521484375,-177.9409637451172,-2.2562882900238037,-232
rejected,-150.32821655273438,-139.4077606201172,-1.0920456647872925,-254
chosen,-361.1708068847656,-333.8692321777344,-2.7301576137542725,153
rejected,-210.83517456054688,-189.95736694335938,-2.087780714035034,78
chosen,-128.57638549804688,-118.0010986328125,-1.0575287342071533,-268
rejected,-67.28211975097656,-50.68199920654297,-1.660012125968933,-307
chosen,-204.36309814453125,-189.50527954101562,-1.4857819080352783,-50
rejected,-238.41302490234375,-219.8404541015625,-1.8572571277618408,-45
chosen,-175.96963500976562,-172.52944946289062,-0.3440185487270355,-95
rejected,-114.193359375,-103.53595733642578,-1.0657402276992798,-140
chosen,-435.43292236328125,-408.0364074707031,-2.7396514415740967,44
rejected,-342.84857177734375,-319.61737060546875,-2.3231201171875,-4
chosen,-54.54857635498047,-31.726558685302734,-2.2822017669677734,-1
rejected,-49.74154281616211,-29.053936004638672,-2.068760633468628,5
chosen,-0.5113698244094849,-1.995180368423462,0.1483810544013977,-197
rejected,-27.087217330932617,-12.861745834350586,-1.4225472211837769,-189
chosen,-31.867443084716797,-31.976022720336914,0.010857963934540749,3
rejected,-32.8792724609375,-14.651357650756836,-1.8227914571762085,-10
chosen,-53.499332427978516,-50.06546401977539,-0.34338685870170593,-39
rejected,-15.189023971557617,-10.08177661895752,-0.5107247233390808,-62
chosen,-183.9169158935547,-170.76095581054688,-1.3155959844589233,31
rejected,-133.47679138183594,-113.81137084960938,-1.96654212474823,-60
