type,policy_logps,reference_logps,rewards,lengths
chosen,-178.138916015625,-139.2651824951172,-3.887373447418213,55
rejected,-284.1981201171875,-237.41952514648438,-4.677859783172607,120
chosen,-319.426025390625,-287.2021789550781,-3.2223846912384033,136
rejected,-358.8604431152344,-326.7947998046875,-3.206564426422119,165
chosen,-167.22647094726562,-146.62799072265625,-2.0598480701446533,58
rejected,-114.93241882324219,-77.207275390625,-3.7725143432617188,26
chosen,-230.955322265625,-191.9840850830078,-3.8971238136291504,-314
rejected,-184.4267120361328,-121.07025146484375,-6.335646152496338,-329
chosen,-219.77310180664062,-195.60498046875,-2.4168121814727783,-48
rejected,-355.23101806640625,-292.6767578125,-6.255425930023193,-4
chosen,-78.9708251953125,-19.871850967407227,-5.909897804260254,-11
rejected,-69.44728088378906,-33.88002014160156,-3.5567262172698975,9
chosen,-457.146484375,-405.90118408203125,-5.12453031539917,-4
rejected,-633.6285400390625,-567.2525024414062,-6.637603759765625,-3
chosen,-165.93687438964844,-112.0117416381836,-5.392513275146484,-388
rejected,-176.6483154296875,-119.42076873779297,-5.722754955291748,-389
chosen,-114.39332580566406,-100.58503723144531,-1.380828857421875,-316
rejected,-284.93939208984375,-261.00006103515625,-2.393933057785034,-272
chosen,-111.36856079101562,-100.13014221191406,-1.1238418817520142,-117
rejected,-19.248987197875977,-2.0324432849884033,-1.7216542959213257,-156
chosen,-150.6294403076172,-107.77822875976562,-4.285121440887451,48
rejected,-92.52919006347656,-17.240966796875,-7.528822422027588,-10
chosen,-103.77981567382812,-64.0395736694336,-3.9740242958068848,-4
rejected,-156.34837341308594,-91.08612823486328,-6.526224613189697,-4
chosen,-184.70266723632812,-156.52540588378906,-2.8177261352539062,-202
rejected,-148.14862060546875,-128.48468017578125,-1.966394066810608,-204
chosen,-198.0254669189453,-169.46937561035156,-2.855609178543091,-162
rejected,-415.5772705078125,-368.4820556640625,-4.709521770477295,-70
chosen,-292.5317687988281,-236.3485870361328,-5.6183180809021,-137
rejected,-343.91314697265625,-267.800048828125,-7.611310005187988,-115
chosen,-74.02069091796875,-51.45274353027344,-2.2567946910858154,-116
rejected,-51.84418487548828,-30.029264450073242,-2.1814920902252197,-121
chosen,-57.362998962402344,-24.81671905517578,-3.2546279430389404,-8
rejected,-49.20256042480469,-6.753149032592773,-4.244941234588623,-16
chosen,-664.9324951171875,-626.8320922851562,-3.810040235519409,221
rejected,-367.1109619140625,-330.28338623046875,-3.682757616043091,103
chosen,-57.13894271850586,-12.686368942260742,-4.445257663726807,-115
rejected,-76.87847900390625,-48.31414031982422,-2.856433868408203,-99
chosen,-104.79957580566406,-87.19441223144531,-1.7605164051055908,-181
rejected,-140.06033325195312,-108.96884155273438,-3.109149217605591,-191
chosen,-25.933605194091797,-14.284168243408203,-1.1649436950683594,-190
rejected,-71.32725524902344,-34.01219940185547,-3.7315056324005127,-204
chosen,-23.946434020996094,-14.370415687561035,-0.9576018452644348,-64
rejected,-48.59186553955078,-34.3593635559082,-1.4232501983642578,-51
chosen,-354.1244201660156,-332.59881591796875,-2.1525604724884033,181
rejected,-367.33270263671875,-338.2218017578125,-2.911090135574341,227
chosen,-173.09515380859375,-152.40496826171875,-2.069018602371216,40
rejected,-336.78350830078125,-299.3639831542969,-3.741952657699585,127
chosen,-229.4677276611328,-194.81216430664062,-3.4655563831329346,71
rejected,-136.25192260742188,-98.18880462646484,-3.806311845779419,25
chosen,-112.57632446289062,-80.64484405517578,-3.193148136138916,-25
rejected,-87.79338836669922,-41.07487106323242,-4.671851634979248,-50
chosen,-40.266273498535156,-14.98469066619873,-2.528158187866211,-414
rejected,-61.83481216430664,-47.552799224853516,-1.4282013177871704,-367
chosen,-147.01414489746094,-126.34639739990234,-2.066774845123291,-114
rejected,-206.97203063964844,-163.37158203125,-4.360044956207275,-117
chosen,-118.44364929199219,-73.55481719970703,-4.4888834953308105,-125
rejected,-74.9533462524414,-36.74101638793945,-3.821233034133911,-141
chosen,-130.70712280273438,-82.45964813232422,-4.824747562408447,13
rejected,-87.40946960449219,-30.998104095458984,-5.641136646270752,-4
chosen,-62.93434143066406,-10.673377990722656,-5.2260966300964355,-160
rejected,-78.10737609863281,-44.49741744995117,-3.3609960079193115,-148
chosen,-172.73956298828125,-145.09793090820312,-2.7641632556915283,51
rejected,-120.7938461303711,-68.44849395751953,-5.234535217285156,19
chosen,-69.09424591064453,-30.955106735229492,-3.8139138221740723,-18
rejected,-180.81448364257812,-143.10604858398438,-3.770843505859375,28
chosen,-127.02738952636719,-85.1666030883789,-4.1860785484313965,-103
rejected,-98.88504028320312,-64.44886016845703,-3.443618059158325,-114
chosen,-6.459893703460693,-2.4854519367218018,-0.3974441885948181,-208
rejected,-38.79351806640625,-9.777729988098145,-2.901578903198242,-206
chosen,-335.8311462402344,-293.15252685546875,-4.267861843109131,147
rejected,-91.42265319824219,-24.667373657226562,-6.675528049468994,-8
chosen,-134.9945526123047,-93.55921936035156,-4.143533229827881,-77
rejected,-246.63938903808594,-216.52903747558594,-3.011035203933716,-9
chosen,-130.93431091308594,-94.29269409179688,-3.6641616821289062,-181
rejected,-301.29400634765625,-255.731689453125,-4.55623197555542,-82
chosen,-53.1737174987793,-38.82154083251953,-1.4352177381515503,-125
rejected,-45.0684928894043,-1.1908111572265625,-4.387768268585205,-142
chosen,-429.8952331542969,-385.0059509277344,-4.488928318023682,-66
rejected,-61.01961898803711,-8.577499389648438,-5.2442121505737305,-256
chosen,-82.82719421386719,-52.87177276611328,-2.995542287826538,13
rejected,-67.07787322998047,-61.70005416870117,-0.5377818942070007,33
chosen,-186.67091369628906,-163.2318115234375,-2.3439102172851562,-180
